rank,Job Title,final_score,similarity_pct,skill_match_pct,matched_count,extracted_skills,skill_gaps
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
1,Data Scientist,100.0,100.0,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
2,Data Scientist,93.91,89.85,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
3,Data Scientist,93.51,89.18,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
3,Data Scientist,93.51,89.18,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
3,Data Scientist,93.51,89.18,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
3,Data Scientist,93.51,89.18,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
3,Data Scientist,93.51,89.18,100.0,4,"['python', 'r', 'machine learning', 'deep learning']",[]
